Country,Nationality,GDP,Population,GDP per Capita
United States,,25462700000000,338289857,75269
China,Chinese,17963200000000,1425887337,12598
Japan,Japanese,4231140000000,123951692,34135
Germany,German,4072190000000,83369843,48845
India,Indian,3385090000000,1417173173,2389
United Kingdom,,3070670000000,67508936,45485
France,French,2782910000000,64626628,43061
Russia,,2240420000000,144713314,15482
Canada,Canadian,2139840000000,38454327,55646
Italy,Italian,2010430000000,59037474,34053
Brazil,Brazilian,1920100000000,215313498,8918
Australia,Australian,1675420000000,26177413,64003
South Korea,,1665250000000,51815810,32138
Mexico,Mexican,1414190000000,127504125,11091
Spain,Spanish,1397510000000,47558630,29385
Indonesia,Indonesian,1319100000000,275501339,4788
Saudi Arabia,"Saudi, Saudi Arabian",1108150000000,36408820,30436
Netherlands,"Dutch, Netherlandic",991115000000,17564014,56429
Turkey,Turkish,905988000000,85341241,10616
Switzerland,Swiss,807706000000,8740472,92410
Poland,Polish,688177000000,39857145,17266
Argentina,Argentine,632770000000,45510318,13904
Sweden,Swedish,585939000000,10549347,55543
Norway,Norwegian,579267000000,5434319,106594
Belgium,Belgian,578604000000,11655930,49640
Ireland,Irish,529245000000,5023109,105362
Israel,Israeli,522033000000,9038309,57758
United Arab Emirates,"Emirati, Emirian, Emiri",507535000000,9441129,53758
Thailand,Thai,495341000000,71697030,6909
Nigeria,Nigerian,477386000000,218541212,2184
Egypt,Egyptian,476748000000,110990103,4295
Austria,Austrian,471400000000,8939617,52732
Singapore,Singaporean,466789000000,5975689,78115
Bangladesh,Bangladeshi,460201000000,171186372,2688
Vietnam,Vietnamese,408802000000,98186856,4164
Malaysia,Malaysian,406306000000,33938221,11972
South Africa,South African,405870000000,59893885,6776
Philippines,"Philippine, Filipino",404284000000,115559009,3499
Denmark,Danish,395404000000,5882261,67220
Iran,"Iranian, Persian",388544000000,88550570,4388
Pakistan,Pakistani,376533000000,235824862,1597
Hong Kong,"Hong Kong, Hong Kongese",359839000000,7488865,48050
Colombia,Colombian,343939000000,51874024,6630
Romania,Romanian,301262000000,19659267,15324
Chile,Chilean,301025000000,19603733,15355
Czech Republic (Czechia),,290924000000,10493986,27723
Finland,Finnish,280826000000,5540745,50684
Iraq,Iraqi,264182000000,44496122,5937
Portugal,Portuguese,251945000000,10270865,24530
New Zealand,"New Zealand, NZ",247234000000,5185288,47680
Peru,Peruvian,242632000000,34049588,7126
Qatar,Qatari,237296000000,2695122,88046
Kazakhstan,"Kazakhstani, Kazakh",220623000000,19397998,11373
Greece,"Greek, Hellenic",219066000000,10384971,21095
Algeria,Algerian,191913000000,44903225,4274
Kuwait,Kuwaiti,184558000000,4268873,43233
Hungary,"Hungarian, Magyar",178789000000,9967308,17938
Ukraine,Ukrainian,160503000000,39701739,4043
Morocco,Moroccan,134182000000,37457971,3582
Ethiopia,Ethiopian,126783000000,123379924,1028
Slovakia,Slovak,115469000000,5643453,20461
Ecuador,Ecuadorian,115049000000,18001000,6391
Oman,Omani,114667000000,4576298,25057
Dominican Republic,Dominican,113642000000,11228821,10121
Kenya,Kenyan,113420000000,54027487,2099
Angola,Angolan,106714000000,35588987,2999
Guatemala,Guatemalan,95003333381,17843908,5324
Bulgaria,Bulgarian,89040398406,6781953,13129
Luxembourg,"Luxembourg, Luxembourgish",82274812251,647599,127046
Uzbekistan,"Uzbekistani, Uzbek",80391853885,34627652,2322
Azerbaijan,"Azerbaijani, Azeri",78721058824,10358074,7600
Panama,Panamanian,76522511781,4408581,17358
Tanzania,,75709289056,65497748,1156
Sri Lanka,Sri Lankan,74403578363,21832143,3408
Ghana,Ghanaian,72838798788,33475870,2176
Belarus,Belarusian,72793457588,9534954,7634
Uruguay,Uruguayan,71177146197,3422794,20795
Croatia,Croatian,70964606465,4030358,17608
Lithuania,Lithuanian,70334299008,2750055,25576
Côte d'Ivoire,Ivorian,70018715017,28160542,2486
Costa Rica,Costa Rican,68380838316,5180829,13199
Serbia,Serbian,63501748652,7221365,8794
Slovenia,"Slovenian, Slovene",62117768015,2119844,29303
Myanmar,Burmese,59364362541,54179306,1096
DR Congo,,58065953573,99010212,586
Sudan,Sudanese,51662241775,46874204,1102
Jordan,Jordanian,47451499859,11285869,4205
Tunisia,Tunisian,46664948952,12356117,3777
Libya,Libyan,45752336036,6812341,6716
Uganda,Ugandan,45559202049,47249585,964
Bahrain,Bahraini,44390820479,1472233,30152
Cameroon,Cameroonian,44341646509,27914536,1588
Bolivia,,43068885673,12224110,3523
Paraguay,Paraguayan,41722295362,6780744,6153
Latvia,Latvian,41153912663,1850651,22238
Nepal,"Nepali, Nepalese",40828247302,30547580,1337
Estonia,Estonian,38100812959,1326062,28732
El Salvador,Salvadoran,32488720000,6336392,5127
Honduras,Honduran,31717700115,10432860,3040
Papua New Guinea,"Papua New Guinean, Papuan",30633444295,10142619,3020
Cambodia,Cambodian,29956769529,16767842,1787
Zambia,Zambian,29784454056,20017675,1488
Cyprus,Cypriot,28439052741,1251488,22724
Trinidad and Tobago,Trinidadian or Tobagonian,27899082337,1531044,18222
Iceland,Icelandic,27841648044,372899,74663
Senegal,Senegalese,27684430244,17316449,1599
Georgia,Georgian,24605375420,3744385,6571
Bosnia and Herzegovina,Bosnian or Herzegovinian,24527507288,3233526,7585
Macao,"Macanese, Chinese",21979475561,695168,31618
Guinea,Guinean,21227749389,13859341,1532
Gabon,Gabonese,21071739228,2388992,8820
Zimbabwe,Zimbabwean,20678055598,16320537,1267
Botswana,"Motswana, Botswanan",20352322157,2630296,7738
Haiti,Haitian,20253551885,11584996,1748
Armenia,Armenian,19502783988,2780469,7014
State of Palestine,,19111900000,5250072,3640
Burkina Faso,Burkinabé,18884619613,22673762,833
Albania,Albanian,18882095518,2842321,6643
Mali,"Malian, Malinese",18827176532,22593590,833
Mozambique,Mozambican,17851491428,32969518,541
Malta,Maltese,17765270015,533286,33313
Benin,"Beninese, Beninois",17401746309,13352864,1303
Jamaica,Jamaican,17097760745,2827377,6047
Mongolia,Mongolian,16810883361,3398366,4947
Brunei,,16681531646,449002,37152
Laos,,15724383783,7529475,2088
Nicaragua,Nicaraguan,15671583878,6948392,2255
Guyana,Guyanese,15357537068,808726,18990
Madagascar,Malagasy,14954967604,29611714,505
Congo,,14615532210,5970424,2448
Moldova,,14420947884,3272996,4406
Niger,Nigerien,13969605583,26207977,533
North Macedonia,,13563132057,2093599,6478
Rwanda,Rwandan,13312796765,13776698,966
Malawi,Malawian,13164667627,20405317,645
Mauritius,Mauritian,12898307089,1299469,9926
Bahamas,Bahamian,12897400000,409984,31458
Chad,Chadian,12704149842,17723315,717
Namibia,Namibian,12607436976,2567012,4911
Equatorial Guinea,"Equatorial Guinean, Equatoguinean",11813908448,1674908,7053
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz",10930644915,6630623,1649
Tajikistan,Tajikistani,10492123388,9952787,1054
Mauritania,Mauritanian,10375460680,4736139,2191
Togo,Togolese,8126439481,8848699,918
Maldives,Maldivian,6189865408,523787,11818
Montenegro,Montenegrin,6095978868,627082,9721
Barbados,Barbadian,5637914515,281635,20019
Fiji,Fijian,4943248200,929766,5317
Eswatini,,4854167638,1201670,4040
Liberia,Liberian,4001047150,5302681,755
Sierra Leone,Sierra Leonean,3970343852,8605718,461
Suriname,Surinamese,3620655116,618040,5858
Andorra,Andorran,3352032737,79824,41993
Timor-Leste,Timorese,3163324631,1341296,2358
Burundi,Burundian,3073414678,12889576,238
Belize,Belizean,2824081836,405272,6968
Lesotho,Basotho,2553459763,2305825,1107
Central African Republic,Central African,2382618615,5579144,427
Cabo Verde,Cabo Verdean,2314816792,593149,3903
Gambia,Gambian,2273060863,2705992,840
Saint Lucia,Saint Lucian,2065027556,179857,11481
Antigua and Barbuda,Antiguan or Barbudan,1757603704,93763,18745
Guinea-Bissau,Bissau-Guinean,1633559092,2105566,776
Solomon Islands,Solomon Island,1595710784,724273,2203
Seychelles,Seychellois,1588406479,107118,14829
Grenada,Grenadian,1256413185,125438,10016
Comoros,"Comoran, Comorian",1242519407,836774,1485
Vanuatu,"Ni-Vanuatu, Vanuatuan",983582865,326740,3010
Saint Kitts & Nevis,,961563259,47657,20177
St. Vincent & Grenadines,,948558503,103948,9125
Samoa,Samoan,832421565,222382,3743
Dominica,Dominican,612048148,72737,8415
Sao Tome & Principe,,546680342,227380,2404
Micronesia,,427094119,539013,792
Marshall Islands,Marshallese,279667900,41569,6728
Kiribati,I-Kiribati,223352943,131232,1702
Tuvalu,Tuvaluan,60349391,11312,5335
