Nationality,Department,Program,2019/20 Apps,2019/20 Offe,2019/20 Entr,2020/21 Apps,2020/21 Offe,2020/21 Entr,2021/22 Apps,2021/22 Offe,2021/22 Entr,2022/23 Apps,2022/23 Offe,2022/23 Entr,2023/24 Apps,2023/24 Offe,2023/24 Entr
Nationality,Department.. Programme.. Apps Offe.. Entr.. Apps Offe.. Entr.. Apps Offe.. Entr.. Apps Offe.. Entr.. Apps Offe.. Entr..,,0,0,0,0,0,0,0,0,0,0,0,,,,
Afghan,Accounting,UG Degree 0 0 0 * *,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * *,0 6 0,0
,PG,Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * 0,0 0 0,0
,Anthropology,UG Degree * 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 * *,0
,Economic,UG Degree * 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * *,0 0 0,0 * 0,0
,History,PG Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 0 0,0
,Economics,UG Degree 0 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * 0,0 * 0,0
,PG,Taught 0 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * 0,0 0 0,0
,European,In.. PG Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * *,* * 0,0
,Finance,UG Degree * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 0 0,0
,PG,Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 8 0,0 5 0,0
,Gender,Stud.. PG Taught * * * * *,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * *,* * *,0
,Geography,UG Degree 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 * 0,0
,and,Environ.. PG Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * *,0 * *,0 6 *,*
,Government,UG Degree * * 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * *,0 0 0,0 * 0,0
,PG,Taught 7 0 0 5 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * 0,0 * *,0
,Health,Policy PG Taught 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 0 0,0 * 0,0
,International..,PG Taught 8 * 0 * *,0,0,0,0,0,0,0,0,0,0,0,0 5 *,0 * 0,0 19 0,0
,International,UG Degree * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * 0,0 * 0,0
,Relations,PG Taught * 0 0 * *,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * *,0 * *,0
,Law,School UG Degree * 0 0 * *,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * *,0 * 0,0
,PG,Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 0 0,0 * 0,0
,Management,UG Degree * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * 0,0 * 0,0
,PG,Taught * * 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 5 *,0 5 *,* * 0,0
,Mathematics,UG Degree * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * *,* 0 0,0
,PG,Taught 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 * *,*
,Media,and C.. PG Taught * * 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * 0,0 0 0,0
,Methodology,PG Taught * 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 * *,0
,"Philosophy,",UG Degree 0 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 * 0,0
,Logic,and S.. PG Taught 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * *,0 0 0,0
,Psychologic..,PG Taught 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 0 0,0 0 0,0
,School,of Pu.. PG Taught 5 * 0 * *,0,0,0,0,0,0,0,0,0,0,0,0 * *,0 5 *,0 * *,0
,Social,Policy UG Degree 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 0 0,0 0 0,0
,PG,Taught * 0 0 * *,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * 0,0 * *,0
,Sociology,PG Taught 0 0 0 * *,0,0,0,0,0,0,0,0,0,0,0,* 0 0,0 6 *,* * 0,0
,Statistics,UG Degree 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * 0,0 * 0,0
,PG,Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * 0,0 * *,0
Albanian,Accounting,UG Degree 7 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 6 *,0 8 *,0 * 0,0
,PG,Taught * * * * *,0,0,0,0,0,0,0,0,0,0,0,* * *,0 * *,* * *,*
,Anthropology,UG Degree 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * 0,0 0 0,0
,PG,Taught 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * *,0 0 0,0 0 0,0
,Economic,UG Degree 0 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 0 0,0 * 0,0
,History,PG Taught 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 * *,0 * *,0
,Economics,UG Degree 5 0 0 6 *,0,0,0,0,0,0,0,0,0,0,0,* * *,* * 0,0 * 0,0
,PG,Taught * * 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * *,0 * *,0
,European,In.. PG Taught * 0 0 5 *,0,0,0,0,0,0,0,0,0,0,0,* 0 0,0 * 0,0 * *,0
,Finance,UG Degree 0 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * *,0 * 0,0
,PG,Taught 5 * * 6 0,0,0,0,0,0,0,0,0,0,0,0,0 8 0,0 6 *,0 0 0,0
,Geography,UG Degree 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 0 0,0 0 0,0 * 0,0
,and,Environ.. PG Taught * 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0 * *,0 * *,0 0 0,0
,Government,UG Degree * * 0 * *,0,0,0,0,0,0,0,0,0,0,0,* * 0,0 * 0,0 * *,0
,PG,Taught * 0 0 * 0,0,0,0,0,0,0,0,0,0,0,0,0 * 0,0 * *,0 * 0,0
